"","VCF0006","VCF0006a","VCF0009x","VCF0010x","VCF0011x","VCF0009y","VCF0009z","VCF0010z","VCF0011z","VCF0017","VCF0018a","VCF0018b","VCF0050a","VCF0050b","VCF0070a","VCF0070b","VCF0071c","VCF0071d","VCF0072a","VCF0072b","VCF0101","VCF0102","VCF0103","VCF0104","VCF0105a","VCF0105b","VCF0106","VCF0107","VCF0108","VCF0110","VCF0112","VCF0113","VCF0114","VCF0116","VCF0118","VCF0127","VCF0127a","VCF0127b","VCF0128","VCF0130","VCF0130a","VCF0140","VCF0140a","VCF0143","VCF0146","VCF0147","VCF0148","VCF0148a","VCF0149","VCF0150","VCF0152","VCF0156","VCF0157","VCF0205","VCF0206","VCF0207","VCF0209","VCF0210","VCF0211","VCF0212","VCF0214","VCF0217","VCF0218","VCF0223","VCF0224","VCF0227","VCF0228","VCF0232","VCF0233","VCF0234","VCF0253","VCF0290","VCF0291","VCF0301","VCF0302","VCF0303","VCF0305","VCF0310","VCF0346","VCF0349","VCF0358","VCF0359","VCF0360","VCF0361","VCF0370","VCF0371","VCF0372","VCF0373","VCF0374","VCF0380","VCF0386","VCF0392","VCF0412","VCF0413","VCF0414","VCF0415","VCF0424","VCF0425","VCF0426","VCF0427","VCF0428","VCF0447","VCF0450","VCF0451","VCF0471","VCF0475","VCF0481","VCF0487","VCF0493","VCF0501","VCF0502","VCF0502a","VCF0503","VCF0504","VCF0605","VCF0606","VCF0609","VCF0613","VCF0624","VCF0648","VCF0649","VCF0656","VCF0700","VCF0702","VCF0703","VCF0704","VCF0704a","VCF0705","VCF0706","VCF0707","VCF0708","VCF0709","VCF0710","VCF0712","VCF0713","VCF0714","VCF0717","VCF0718","VCF0719","VCF0720","VCF0721","VCF0723","VCF0723a","VCF0729","VCF0731","VCF0733","VCF0734","VCF0736","VCF0740","VCF0741","VCF0742","VCF0801","VCF0803","VCF0804","VCF0806","VCF0809","VCF0823","VCF0824","VCF0830","VCF0838","VCF0839","VCF0843","VCF0846","VCF0847","VCF0849","VCF0850","VCF0851","VCF0852","VCF0853","VCF0854","VCF0867","VCF0867a","VCF0870","VCF0871","VCF0872","VCF0876","VCF0876a","VCF0878","VCF0879","VCF0879a","VCF0880","VCF0880a","VCF0881","VCF0886","VCF0887","VCF0888","VCF0890","VCF0894","VCF0900","VCF0900b","VCF0900c","VCF0901a","VCF0901b","VCF0902","VCF0903","VCF0904","VCF0905","VCF0991","VCF0992","VCF1004","VCF1005","VCF1011","VCF1012","VCF1013","VCF1014","VCF1015","VCF1016","VCF9005","VCF9009","VCF9013","VCF9016","VCF9017","VCF9018","VCF9021","VCF9022","VCF9023","VCF9025","VCF9027","VCF9028","VCF9029","VCF9030","VCF9030a","VCF9030b","VCF9030c","VCF9031","VCF9032","VCF9039","VCF9040","VCF9041","VCF9042","VCF9045","VCF9047","VCF9048","VCF9049","VCF9054","VCF9055","VCF9056","VCF9057","VCF9058","VCF9059","VCF9060","VCF9069","VCF9081","VCF9084","VCF9085","VCF9086","VCF9087","VCF9088","VCF9089","VCF9092","VCF9093","VCF9094","VCF9095","VCF9096","VCF9122","VCF9123","VCF9124","VCF9131","VCF9132","VCF9133","VCF9201","VCF9202","VCF9203","VCF9204","VCF9205","VCF9206","VCF9207","VCF9208","VCF9209","VCF9210","VCF9211","VCF9212","VCF9213","VCF9214","VCF9215","VCF9216","VCF9217","VCF9218","VCF9219","VCF9220","VCF9221","VCF9222","VCF9223","VCF9224","VCF9225","VCF9226","VCF9227","VCF9228","VCF9229","VCF9230","VCF9231","VCF9232","VCF9233","VCF9234","VCF9235","VCF9236","VCF9237","VCF9238","VCF9239","VCF9240","VCF9241","VCF9242","VCF9243","VCF9244","VCF9245","VCF9246","VCF9247","VCF9248","VCF9249","VCF9250","VCF9251","VCF9252","VCF9253","VCF9255","VCF9256","VCF9257","VCF9258","VCF9259","VCF9260","VCF9261","VCF9262","VCF9263","VCF9264","VCF9265","VCF9266","VCF9267","VCF9268","VCF9269","VCF9270","VCF9271","VCF9272","VCF9273","VCF9275","VCF9277","VCF9278","VCF9279","VCF9280","VCF9281","VCF9282"
"57866",3012,20163012,0,0,0,0.859,0.879,0.879,0.879,4,0,0,9,0,NA,NA,9,9,9,9,35,3,2,2,1,1,1,7,2,3,3,1,3,1,1,2,0,0,1,5,5,5,5,1,1,1,1,1,3,10,230,5,5,99,41,41,61,59,40,97,97,40,31,99,85,40,61,97,17,0,50,58,23,7,1,3,4,2,1,2,1,1,2,2,1,1,1,1,5,1,1,1,47,36,57,45,32,51,61,62,31,40,2,4,32,5,1,1,5,2,2,2,2,5,1,1,1,1,2,0,50,0,1,2,3,2,2,2,2,2,2,4,4,3,2,1,2,2,1,1,1,3,3,2,1,1,9,5,2,2,2,77,6,3,7,7,2,0,5,4,1,4,2,5,5,2,1,4,1,2,5,5,3,3,3,1,1,1,3,3,3,4,2,1,2,1,1,3,1,2201,"LA01",22,"LA",52,2,0,1,1,5,9,9,1,9,1,8,7,43,58,5,2,4,4,2,5,5,0,0,2,2,3,7,2,2,2,5,1,4,2,5,4,1,1,2,1,1,65,999,999,990,990,999,2,2,6,1,7,1,1,6,1,7,2,7,7,2,99,99,1,2,1,4,8,1,2,3,2,5,-9,5,4,3,5,3,3,4,4,1,2,2,2,2,2,3,2,2,3,1,2,2,1,-9,3,6,4,3,1,1,1,2,6,2,8,2,3,2,3,3,1,3,5,3,4,5,2,1,1,1,2,1,1,2,-9,-9,1,-9,62,50,30,2,3,1,1,2,1,2,1,1,1,1
"57867",3013,20163013,0,0,0,0.852,0.873,0.873,0.873,4,0,0,9,0,NA,NA,9,9,9,9,56,5,3,2,1,1,1,7,2,2,3,1,1,5,3,2,0,0,1,4,4,3,3,1,1,3,1,1,4,50,10,0,0,85,80,90,20,90,70,70,97,70,99,85,85,80,45,88,50,70,80,999,999,1,5,1,4,3,1,1,1,1,1,2,1,1,1,2,5,1,5,5,50,50,60,50,50,60,50,60,97,50,1,1,50,5,5,5,5,2,9,5,4,4,1,1,1,1,2,0,50,0,2,1,2,0,0,0,7,0,0,0,0,0,9,1,1,1,1,1,1,1,1,1,1,1,5,0,2,2,2,49,9,0,5,4,2,3,4,2,5,5,1,2,3,2,2,3,1,1,5,4,3,3,1,1,1,1,3,3,3,5,1,1,1,2,1,1,4,2204,"LA04",22,"LA",99,9,9,9,1,1,9,9,9,9,9,9,19,6,65,1,2,3,2,4,1,0,9,9,1,2,3,7,2,2,2,1,5,3,4,2,3,3,1,1,1,1,65,999,999,990,990,999,2,3,3,4,3,3,4,3,3,4,3,3,4,1,99,99,2,1,2,4,8,1,2,2,2,2,8,4,4,4,4,5,4,3,3,1,1,3,3,2,1,2,2,2,3,2,3,3,3,-9,1,1,4,2,1,1,3,1,6,4,9,1,4,3,3,1,1,3,4,3,3,4,3,2,2,2,1,2,2,2,-9,-9,2,-9,50,65,75,2,3,2,1,3,-9,-9,1,1,1,1
"57868",3014,20163014,0,0,0,0.439,0.45,0.45,0.45,4,0,0,9,0,NA,NA,9,9,9,9,50,4,3,1,3,4,3,7,2,4,1,2,4,4,2,2,0,0,2,4,4,6,7,5,1,3,6,6,1,40,400,0,0,50,60,85,40,50,85,30,50,50,60,50,15,97,50,70,50,0,97,38,73,5,2,3,2,3,1,1,2,2,1,1,1,1,1,2,1,1,5,1,35,85,70,50,70,70,0,70,85,97,2,4,70,1,1,1,1,2,2,2,2,5,2,1,1,1,1,0,0,50,1,2,3,1,1,1,1,0,0,0,0,3,1,1,1,1,1,1,1,1,1,2,1,2,1,0,2,2,2,21,2,1,2,1,2,0,6,4,6,7,2,5,1,3,5,1,5,4,5,5,3,3,5,5,5,1,3,3,3,4,3,1,1,3,1,1,5,2505,"MA05",25,"MA",14,1,1,1,9,1,4,3,9,9,9,1,56,41,50,2,3,5,5,1,1,1,0,0,0,1,3,7,2,2,2,5,3,1,5,5,3,1,1,1,1,2,81,996,996,996,996,996,9,7,2,6,6,2,2,5,6,3,5,6,7,1,99,99,2,1,2,9,0,1,1,3,1,10,0,2,4,1,5,5,5,4,5,1,2,3,3,2,2,4,1,1,2,1,1,1,2,-7,3,7,4,2,1,1,1,1,2,3,8,2,3,5,1,3,1,1,5,5,2,5,2,2,2,2,3,2,2,2,-9,-9,1,-9,50,40,30,3,2,1,1,3,-9,-9,1,2,1,1
"57872",3018,20163018,0,0,0,0.767,0.784,0.784,0.784,4,0,0,9,0,NA,NA,9,9,9,9,67,6,4,2,1,1,1,7,2,3,2,2,4,5,3,2,0,0,1,2,2,5,5,1,1,1,4,4,1,50,10,0,0,70,70,70,60,60,30,70,85,60,0,85,60,70,40,60,30,60,40,30,20,6,1,3,3,3,1,2,2,2,2,2,2,2,1,1,5,5,1,5,43,8,43,8,0,0,85,85,0,0,2,4,0,5,1,1,1,2,2,2,1,2,1,1,1,3,3,25,100,0,2,2,3,2,2,2,2,2,0,4,0,0,2,2,2,1,1,1,1,2,2,2,1,3,9,5,2,2,2,69,6,3,7,6,1,0,6,1,2,5,1,3,5,1,1,5,1,4,5,5,5,5,5,5,5,1,5,5,3,5,3,3,2,2,2,3,3,2703,"MN03",27,"MN",21,1,2,2,5,5,2,1,1,1,1,2,5,13,40,5,5,1,1,5,5,1,0,0,2,2,1,1,1,1,2,5,3,5,1,2,5,1,2,1,1,2,81,996,996,996,996,996,4,2,7,1,7,1,1,4,2,6,3,6,6,2,99,99,1,2,1,1,6,2,-9,3,3,0,8,5,5,4,5,1,2,2,1,2,2,3,3,4,2,1,1,3,4,1,1,1,1,1,2,4,4,1,1,2,3,1,9,0,4,1,2,2,1,1,1,3,5,2,2,5,3,1,1,1,2,1,1,1,-9,-9,2,-9,30,70,85,3,3,3,2,1,-9,-9,1,2,1,1
"57873",3019,20163019,0,0,0,2.857,2.956,2.956,2.956,4,0,0,9,0,NA,NA,9,9,9,9,39,3,2,1,6,4,3,7,2,2,4,2,1,1,1,2,0,0,4,5,5,3,3,1,2,7,4,4,2,10,998,5,5,97,50,50,0,50,50,50,97,50,0,97,0,50,50,50,50,50,0,0,50,4,4,2,1,3,2,2,1,2,2,2,2,2,2,2,5,1,1,5,30,20,49,2,0,0,60,97,0,0,2,4,0,5,5,5,5,1,2,2,2,6,1,1,1,3,1,25,0,0,7,2,3,0,0,3,4,2,1,0,0,1,9,1,1,1,1,1,1,1,1,2,1,5,5,5,2,2,2,49,9,0,9,9,1,1,9,2,9,9,2,5,1,3,3,3,3,3,5,4,5,5,5,1,1,1,4,5,3,5,2,1,1,1,1,1,35,635,"CA35",6,"CA",12,1,2,2,5,5,9,9,9,2,2,1,32,2,50,5,1,3,3,3,5,1,0,0,5,3,3,7,2,2,2,5,1,3,3,3,3,1,1,1,1,1,51,100,990,990,990,0,4,1,7,1,1,7,1,7,1,7,7,1,6,3,99,99,2,1,2,0,10,1,2,2,3,0,10,5,5,5,5,1,5,1,1,2,2,3,3,4,2,1,2,3,5,3,5,1,1,-7,2,4,4,2,1,1,2,1,7,0,10,-9,2,5,3,1,3,3,5,2,5,5,3,2,2,2,1,1,1,1,-9,-9,2,-9,50,50,50,1,1,1,1,2,2,2,2,1,1,1
"57874",3020,20163020,0,0,0,0.832,0.852,0.852,0.852,4,0,0,9,0,NA,NA,9,9,9,9,36,3,2,1,5,3,3,1,1,4,2,2,4,1,1,2,0,0,2,5,5,6,6,5,1,1,6,6,1,10,400,5,5,50,50,55,51,49,49,45,49,55,55,50,45,45,10,50,50,39,49,50,55,3,2,1,2,3,2,1,1,1,1,1,1,1,2,1,1,5,5,1,45,60,45,90,55,85,35,5,80,90,1,1,55,5,1,5,1,2,2,2,2,7,1,1,2,1,2,50,50,0,1,2,3,1,1,1,1,1,1,1,1,0,1,1,2,1,1,1,2,3,2,2,1,7,1,1,2,2,1,47,4,2,9,3,2,0,3,4,3,5,1,1,1,2,5,3,2,2,1,1,1,2,1,1,1,1,3,3,2,3,3,2,2,2,1,2,14,1714,"IL14",17,"IL",55,2,0,2,5,5,9,9,1,9,2,6,27,2,51,5,2,2,2,4,5,1,0,0,1,1,3,7,2,2,2,1,0,1,5,4,4,1,2,2,2,1,21,55,30,30,55,51,4,5,3,3,4,3,3,6,7,7,3,7,6,2,99,99,1,1,1,6,1,2,-9,2,1,4,0,3,4,3,4,4,5,4,5,2,1,1,1,3,2,3,1,2,3,1,1,2,2,2,3,6,4,4,2,5,1,2,5,3,8,2,4,2,3,3,3,1,5,3,4,5,2,1,1,1,4,1,1,1,1,-9,1,1,35,51,51,4,4,1,2,3,2,2,1,1,1,1
"57875",3021,20163021,0,0,0,1.032,1.057,1.057,1.057,4,0,0,9,0,NA,NA,9,9,9,9,56,5,3,2,1,1,1,7,2,4,1,2,3,1,1,1,11,1,1,3,3,6,6,1,1,1,4,4,1,10,270,5,5,50,70,70,50,50,50,50,85,50,42,50,63,50,50,50,30,50,50,53,40,4,2,2,1,2,1,1,1,1,2,2,1,1,1,1,5,1,1,5,45,24,52,50,18,52,71,52,33,61,2,4,18,1,1,1,1,1,2,2,2,6,1,1,1,1,1,0,0,0,2,2,3,2,2,2,2,2,2,4,4,3,2,2,1,1,1,1,1,1,1,1,5,9,9,5,2,2,2,49,4,2,3,6,2,3,7,4,9,4,1,3,3,2,4,4,4,1,5,5,5,4,1,1,1,1,5,5,3,4,2,3,2,1,1,3,15,4215,"PA15",42,"PA",55,2,0,2,1,1,9,9,9,9,1,6,56,29,85,5,2,5,4,2,5,1,0,0,1,2,1,2,1,2,1,5,5,5,1,2,3,1,1,1,1,1,21,50,50,50,50,50,1,4,2,3,5,2,1,6,7,6,3,5,5,2,99,99,2,2,1,4,6,2,-9,3,1,1,8,5,4,1,5,2,3,4,2,2,2,3,3,4,2,3,2,2,3,1,1,2,1,1,3,7,4,2,1,1,2,2,-9,1,8,2,2,4,3,3,3,3,1,4,3,4,1,2,2,1,2,2,1,2,-9,-9,2,-9,50,50,85,4,4,4,4,2,1,2,1,1,1,1
"57877",3023,20163023,0,0,0,0.611,0.625,0.625,0.625,4,0,0,9,0,NA,NA,9,9,9,9,0,0,0,1,1,1,1,7,2,3,3,1,4,1,1,2,0,0,1,3,3,4,4,1,1,1,4,4,1,15,10,5,5,50,60,70,40,40,40,60,97,60,16,60,31,60,40,50,40,50,50,24,43,6,1,3,3,3,1,1,1,2,2,2,1,2,1,1,1,1,1,1,29,38,43,8,16,0,41,85,41,16,2,4,16,5,1,1,1,2,2,2,2,6,1,1,1,1,2,0,50,0,1,2,3,0,0,0,0,2,2,0,0,0,0,2,1,1,1,1,1,1,1,1,1,7,0,5,2,2,2,59,5,3,5,4,2,0,2,2,3,6,1,2,5,0,3,4,2,2,5,4,5,4,5,1,1,1,5,5,2,3,3,2,1,1,2,3,15,1215,"FL15",12,"FL",55,2,0,2,1,5,9,9,1,9,1,6,4,6,40,4,4,3,3,2,1,0,9,0,2,2,1,3,1,1,1,5,3,4,4,4,3,1,3,1,2,1,21,50,50,50,50,40,2,3,7,2,6,1,2,6,3,5,4,5,5,2,99,99,1,1,1,4,6,2,-9,2,3,2,7,5,5,3,5,2,2,3,2,2,2,3,2,3,2,3,1,3,4,1,1,2,1,1,2,4,4,2,1,1,1,4,6,2,7,-9,2,2,3,3,1,3,4,3,3,4,2,1,1,1,3,1,1,2,-9,-9,2,-9,50,40,70,3,4,2,3,3,1,2,1,2,1,1
"57880",3026,20163026,0,0,0,1.45,1.484,1.484,1.484,4,0,0,9,0,NA,NA,9,9,9,9,19,1,1,1,1,1,1,7,2,3,3,1,2,8,5,2,0,0,1,4,4,5,5,1,2,2,6,6,1,80,270,0,0,51,39,89,79,50,11,97,41,23,9,41,85,13,49,2,1,75,0,47,12,6,1,3,3,2,1,1,1,2,2,2,1,1,1,1,5,1,1,1,31,19,51,51,0,51,62,50,7,40,2,4,0,5,1,1,1,2,2,2,2,6,1,1,2,2,2,100,50,0,2,1,1,0,0,0,0,0,0,0,0,0,9,2,1,1,1,1,1,1,1,1,1,2,0,0,2,2,2,92,6,3,9,5,2,0,5,2,3,4,1,2,5,1,2,3,2,4,5,5,3,3,1,5,4,1,4,5,1,2,1,3,1,1,2,3,5,5105,"VA05",51,"VA",55,2,0,2,1,1,9,9,9,9,9,6,43,17,82,5,2,3,3,4,1,0,2,9,0,2,1,7,2,2,2,1,0,4,2,1,4,5,2,1,2,2,81,996,996,996,996,996,2,4,2,4,7,4,1,4,6,4,4,4,7,3,99,99,2,1,2,1,10,1,2,3,1,0,8,5,5,5,5,2,1,4,1,1,2,1,3,2,2,3,1,1,2,3,5,2,1,-9,1,2,4,1,1,1,3,2,9,0,10,2,2,2,3,1,1,3,5,3,4,5,2,1,1,2,4,2,1,2,-9,-9,2,-9,16,70,100,2,5,4,1,3,-9,-9,1,1,1,1
"57884",3030,20163030,0,0,0,2.038,2.084,2.084,2.084,4,0,0,9,0,NA,NA,9,9,9,9,57,5,3,1,6,4,3,7,2,4,2,2,3,1,1,2,0,0,4,5,5,6,6,1,1,1,2,2,4,10,998,1,1,97,85,85,31,15,1,50,97,84,15,60,60,85,1,97,15,3,51,38,28,5,2,3,2,3,9,1,1,1,2,2,2,2,1,1,5,1,1,5,50,15,56,9,15,15,85,97,15,40,2,4,15,5,1,1,1,2,2,2,2,4,1,1,1,1,2,0,50,0,2,2,3,2,2,2,2,2,2,4,4,3,2,2,1,1,1,2,1,2,1,0,1,5,9,5,2,2,2,73,5,3,1,6,2,0,4,4,1,4,2,5,5,3,1,4,1,1,5,5,3,3,3,1,2,1,4,5,3,4,2,3,2,1,1,3,6,3906,"OH06",39,"OH",21,1,2,2,5,5,2,1,1,1,1,2,19,3,40,5,1,5,4,2,1,5,0,0,2,2,1,7,2,2,2,5,1,5,2,4,3,1,3,1,2,1,21,16,62,62,16,49,4,1,1,4,7,1,2,5,4,4,1,7,5,4,99,99,1,2,1,2,6,2,-9,3,2,1,2,5,5,3,5,3,3,3,2,2,2,3,2,4,2,2,2,2,3,2,3,2,1,-9,2,4,4,4,1,1,2,1,6,1,8,-9,3,-9,1,3,1,3,1,1,4,1,4,1,1,1,2,2,1,2,-9,-9,1,-9,51,30,17,7,7,7,1,1,2,2,-9,-9,2,1
"57885",3031,20163031,0,0,0,2.038,2.084,2.084,2.084,4,0,0,9,0,NA,NA,9,9,9,9,48,4,3,1,1,1,1,7,2,3,2,2,4,1,1,2,0,0,1,2,2,5,5,1,1,1,1,1,3,10,221,5,5,52,52,71,52,71,61,62,86,61,40,61,31,51,61,25,16,61,28,36,55,2,5,1,3,3,1,1,1,1,2,2,1,2,1,1,5,1,5,5,37,17,43,9,3,2,70,84,31,41,2,4,3,5,1,1,5,1,9,5,3,7,1,1,3,3,2,50,50,0,2,2,3,2,2,2,2,1,2,3,4,0,2,2,1,1,1,1,1,1,1,2,1,2,9,1,2,2,2,49,4,2,4,4,1,0,6,2,3,6,1,2,5,1,1,5,2,4,5,5,3,3,1,1,1,5,5,5,1,2,2,2,2,1,1,3,7,1807,"IN07",18,"IN",55,2,0,2,1,5,9,9,1,9,1,5,17,26,60,5,3,4,2,2,5,1,0,1,1,2,1,7,2,2,2,5,0,5,1,1,5,1,1,1,1,1,65,42,71,990,990,50,2,2,1,1,7,7,1,6,5,5,4,5,4,4,99,99,1,1,1,5,6,2,-9,3,1,1,7,5,5,3,5,3,3,3,1,2,2,3,3,3,2,2,1,2,3,1,2,2,1,-9,1,2,3,2,1,1,1,2,5,3,6,1,3,3,3,1,1,3,5,4,3,5,2,2,2,2,3,1,1,2,-9,-9,2,-9,16,41,88,3,5,3,4,2,1,2,1,2,1,1
"57887",3033,20163033,0,0,0,0.883,0.903,0.903,0.903,4,0,0,9,0,NA,NA,9,9,9,9,37,3,2,2,1,1,1,7,2,3,3,1,4,1,1,2,0,0,4,4,4,5,5,1,1,1,1,1,3,10,99,5,5,97,85,85,50,60,0,85,97,85,0,97,60,85,0,97,15,50,50,30,20,5,4,3,2,3,1,1,1,1,2,2,1,2,1,1,5,1,1,5,35,15,64,17,0,30,70,97,30,15,2,4,0,5,1,5,1,2,2,2,1,5,1,1,3,1,1,25,0,0,2,2,3,2,2,2,2,0,2,0,4,4,2,2,2,1,1,1,1,2,2,2,1,2,9,0,2,2,2,91,6,3,4,9,2,0,7,4,4,6,1,3,5,2,3,3,1,4,5,5,5,4,3,1,1,1,5,5,2,3,2,3,2,1,1,3,3,3703,"NC03",37,"NC",55,2,0,2,5,5,9,9,9,9,9,6,20,3,97,5,1,5,3,2,5,1,0,2,2,1,1,7,2,2,2,5,5,5,3,2,3,1,2,2,1,1,21,50,70,70,50,50,4,1,7,1,7,1,1,6,4,6,2,4,6,2,99,99,1,1,1,1,7,2,-9,3,1,0,7,5,5,2,5,3,2,4,4,2,2,3,3,4,2,4,1,3,4,2,3,2,1,-9,2,4,4,2,1,1,2,3,5,10,0,1,3,1,3,3,1,3,4,3,4,3,1,2,2,1,2,2,1,2,-9,-9,1,-9,40,50,100,1,1,1,1,2,1,2,1,1,1,1
"57888",3034,20163034,0,0,0,0.848,0.876,0.876,0.876,4,0,0,9,0,NA,NA,9,9,9,9,58,5,4,1,3,4,3,7,2,4,4,2,5,1,1,2,0,0,4,5,5,6,7,5,1,1,6,6,1,10,303,5,5,97,70,70,0,70,85,15,60,70,70,70,0,70,0,97,70,0,85,35,85,1,5,1,4,3,1,1,1,2,1,1,1,1,2,2,1,5,5,1,30,80,25,75,60,50,0,0,85,85,1,1,60,1,1,1,1,2,2,2,2,7,1,2,1,1,2,0,50,25,1,2,3,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,2,2,1,4,1,1,2,2,2,14,2,1,7,5,2,0,4,4,6,4,2,5,1,3,5,1,2,1,1,2,1,2,3,1,1,1,1,1,2,3,2,1,1,1,1,1,1,801,"CO01",8,"CO",55,2,0,2,1,5,9,9,1,9,1,5,55,18,60,1,1,5,5,1,5,1,0,0,1,1,3,2,1,2,1,5,5,1,5,4,2,1,1,1,1,1,12,60,0,60,0,70,2,4,4,7,5,5,3,7,7,7,2,7,6,2,99,99,2,1,2,8,1,1,1,1,1,6,0,2,2,1,5,3,5,4,5,1,1,1,1,1,1,4,1,1,2,1,2,3,1,2,3,7,4,2,1,2,1,1,8,8,1,2,4,3,3,1,1,3,5,1,4,5,2,1,2,2,1,1,1,1,-9,-9,2,-9,70,40,0,3,4,3,1,2,1,2,1,2,1,1
"57889",3035,20163035,0,0,0,1.421,1.454,1.454,1.454,4,0,0,9,0,NA,NA,9,9,9,9,22,1,1,1,1,1,1,7,2,4,1,2,3,1,1,2,0,0,4,5,5,6,6,1,2,2,4,4,1,10,998,5,5,85,85,70,70,50,85,50,60,85,85,50,40,85,30,97,50,0,85,63,73,3,2,1,2,2,1,1,1,1,1,1,1,1,2,2,1,5,5,1,35,85,33,68,70,50,0,15,70,85,1,1,70,1,1,1,1,2,2,2,2,6,2,2,1,1,2,0,50,75,1,2,3,1,1,1,1,1,0,1,0,1,1,1,2,1,1,1,1,2,2,2,1,7,1,1,2,2,2,31,2,1,9,5,2,0,3,4,6,2,2,5,1,3,5,2,5,4,1,2,3,3,3,1,1,1,2,1,1,2,2,2,2,2,1,2,6,2506,"MA06",25,"MA",51,2,0,1,9,5,9,9,1,9,1,7,26,12,50,1,3,3,3,2,1,5,0,0,1,1,3,7,2,2,2,5,0,2,4,5,3,3,1,1,1,2,81,996,996,996,996,996,9,4,3,2,5,2,3,6,7,7,1,7,6,3,99,99,2,1,2,8,5,1,1,1,2,6,0,2,3,1,4,4,5,5,5,1,1,2,1,3,1,4,2,1,2,1,2,2,2,-7,3,6,4,2,1,2,1,2,3,2,8,-9,3,4,3,3,3,1,4,3,4,5,2,2,2,2,2,1,1,2,-9,-9,2,-9,85,50,50,4,4,4,2,3,1,2,1,1,1,1
"57890",3036,20163036,0,0,0,0.711,0.737,0.737,0.737,4,0,0,9,0,NA,NA,9,9,9,9,24,1,1,1,1,1,1,7,2,4,4,2,1,1,1,2,0,0,4,5,5,6,6,1,2,7,1,1,3,10,998,5,5,25,50,70,30,15,15,25,30,40,0,30,0,60,40,40,0,30,0,0,50,4,2,2,1,2,1,2,1,1,2,2,1,1,2,2,5,1,5,5,15,35,99,999,0,99,30,99,0,30,2,4,0,5,1,1,1,1,2,2,1,4,1,1,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,1,1,2,1,5,0,0,2,2,2,54,6,3,7,7,1,0,7,4,1,4,2,5,5,1,1,3,1,2,5,4,1,2,5,5,4,5,5,5,1,1,1,3,3,3,2,3,4,804,"CO04",8,"CO",55,2,0,2,1,5,9,9,9,9,9,6,21,4,25,5,3,3,2,3,1,0,9,9,0,1,1,1,1,1,2,5,5,5,1,1,5,5,3,2,3,1,12,999,999,999,999,999,2,6,2,2,5,3,1,6,4,4,4,4,5,2,99,99,1,2,1,2,3,2,-9,2,3,0,3,5,5,3,5,4,4,3,4,2,2,3,1,3,2,1,2,2,3,1,1,1,2,-9,2,4,3,3,2,4,3,1,5,0,10,-9,4,5,3,3,3,1,3,3,4,3,3,2,2,2,1,2,1,2,-9,-9,2,-9,0,40,40,3,5,2,4,3,1,1,1,2,1,2
"57891",3037,20163037,0,0,0,1.74,1.797,1.797,1.797,4,0,0,9,0,NA,NA,9,9,9,9,51,4,3,2,1,1,1,7,2,3,4,2,2,1,1,2,0,0,1,5,5,5,5,1,2,3,1,1,3,10,290,5,5,50,70,97,60,70,85,30,70,70,60,85,50,70,60,60,50,70,97,55,55,4,2,2,1,2,2,1,1,1,1,1,1,1,2,2,1,1,1,1,40,40,50,50,30,50,50,50,70,85,1,2,30,5,5,5,5,2,1,1,5,2,1,1,2,2,1,100,0,0,1,1,1,0,0,0,0,0,0,0,0,0,4,2,1,1,1,1,1,1,1,2,1,4,0,0,2,2,2,21,3,1,4,4,2,0,4,4,4,4,1,2,1,1,1,1,1,9,5,5,5,5,5,1,1,1,3,3,3,4,3,1,2,1,1,3,3,4103,"OR03",41,"OR",14,1,1,1,1,5,9,9,9,9,9,1,14,32,60,4,3,3,3,5,5,0,2,9,0,1,1,7,2,2,2,5,0,1,1,5,3,1,1,1,1,1,12,60,60,60,60,70,2,3,7,1,6,1,5,5,4,7,2,7,2,4,99,99,1,1,9,2,3,2,-9,2,3,3,5,4,5,2,5,2,4,3,4,1,2,3,3,3,2,2,2,3,5,1,1,1,3,-9,2,4,3,3,1,1,1,1,9,4,5,1,3,3,3,1,3,1,1,4,1,5,2,1,2,2,4,2,1,2,-9,-9,2,-9,50,60,100,2,1,2,2,2,1,2,1,2,1,1
